"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XXII","22nd Century Group, Inc","0.702","$94.36M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","3.58","$886.75M","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","3.96","$90.06M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","5.4","$274.06M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef",
"FCO","Aberdeen Global Income Fund, Inc.","6.03","$52.61M","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco",
"ACU","Acme United Corporation.","21.12","$70.8M","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu",
"ATNM","Actinium Pharmaceuticals, Inc.","0.212","$34.92M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm",
"AE","Adams Resources & Energy, Inc.","23.75","$100.59M","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae",
"ACY","AeroCentury Corp.","3.16","$4.88M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy",
"UAVS","AgEagle Aerial Systems, Inc.","0.38","$5.77M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs",
"AGE","AgeX Therapeutics, Inc.","0.78","$29.37M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age",
"AIRI","Air Industries Group","1.015","$30.29M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/airi",
"AXU","Alexco Resource Corp","0.9547","$114.5M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/axu",
"ALO","Alio Gold Inc.","0.521","$44.13M","2011","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/alo",
"AAU","Almaden Minerals, Ltd.","0.2899","$32.39M","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","12.55","$162.94M","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/apt",
"AAMC","Altisource Asset Management Corp","17.48","$28.3M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/aamc",
"AMBO","Ambow Education Holding Ltd.","1.99","$43.29M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/ambo",
"DIT","AMCON Distributing Company","72.25","$40.88M","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/dit",
"AMS","American Shared Hospital Services","1.72","$10M","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/ams",
"USAS","Americas Gold and Silver Corporation","1.49","$128.96M","2017","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/usas",
"AMPE","Ampio Pharmaceuticals, Inc.","0.4525","$71.85M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ampe",
"ANVS","Annovis Bio, Inc.","3.57","$23.27M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/anvs",
"ARNC^","Arconic Inc.","90.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/arnc^",
